,r_list,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,rho_list,DAPX,r_rho_list,APX_tnorm_list
0,0.01,5.0,4.831926133195814,4.830878437212062,4.8472176102950035,4.926006908468246,1.0530995542620658,1.0347840306683296,1.0400528506103093,1.0350084492884775
1,0.03564102564102564,5.0,4.616924926581222,4.6025770311756515,4.54481691651204,4.769196097472223,1.1298445897496447,1.0829719086860787,1.0963389303885542,1.0863479233769247
2,0.06128205128205128,5.0,4.460027858565637,4.435999867722915,4.291481316414152,4.637076802136884,1.193267415888254,1.1210692306321197,1.1414968284716407,1.1271416025913
3,0.08692307692307692,5.0,4.328392409116543,4.289223271799223,4.071256270677931,4.509099249446366,1.251913113796333,1.1551632863667591,1.1822157873212806,1.1657122241395057
4,0.11256410256410256,5.0,4.211460471296648,4.163844679223592,3.8806820533717397,4.397425371631476,1.3081955047646245,1.1872365973936287,1.2203982442956263,1.2008132832016012
5,0.13820512820424188,5.00000000000118,4.103960077713954,4.044337404255626,3.706274424740676,4.282638550128591,1.3632216003045763,1.2183354382887543,1.2569158117551704,1.2362964560622378
6,0.16384615213284393,5.000000002664152,4.0013223538845715,3.934848689161304,3.558667987617347,4.184685415250492,1.417612843484519,1.2495869016426637,1.2922540582465247,1.2706968927259767
7,0.18948698795711627,5.000000338608981,3.908291367357459,3.8343423369982728,3.420764861518456,4.090865291274815,1.4717614734271984,1.2793315207687974,1.3267151328620697,1.3040046764638253
8,0.21512377605811056,5.000008720890125,3.8170925374148776,3.754089391421703,3.3016284712236157,3.9984104272477015,1.5259278946182526,1.3098997920224318,1.3604964665342416,1.3318832344044376
9,0.24072926491223398,5.000086222624999,3.733321210803601,3.669027299557509,3.196448124829409,3.9119637997347203,1.5802486427548743,1.339313158523728,1.3937057632066479,1.3627825072950583
10,0.26621156921784955,5.000463398831876,3.6524523046567077,3.5822069812154345,3.104858523765814,3.830851433794967,1.6346725588604432,1.3690701429438288,1.4263316027735142,1.3959169375341987
11,0.2913861785434755,5.001658074370968,3.574567917238689,3.502054040058061,3.0243031355639327,3.7591664724480522,1.6889079750866252,1.3992343103204175,1.4582238852469136,1.4282069942838589
12,0.315996674610312,5.004474519477746,3.5030792514626468,3.4351846658024594,2.951318555379461,3.694735779150618,1.7424641744684222,1.4285930063923673,1.489130352120213,1.456828382269429
13,0.339770676959002,5.009868158226276,3.4418576188738017,3.3763196915677023,2.890417593381698,3.6369893674550458,1.7947689319561388,1.455571006410642,1.5187714855556946,1.4838251753050316
14,0.3624735965895823,5.018764379060125,3.3825306434752127,3.3234332600028247,2.833200552086944,3.5754132560649667,1.8452886787965794,1.4837306466805116,1.5469083211312333,1.5101143866676772
15,0.38393841483653646,5.031918922690748,3.3376299753053633,3.286830781027567,2.7991938036003194,3.5375945904195425,1.8936039156673752,1.5076323498773625,1.5733786684928233,1.5309333695352612
16,0.4040712494139203,5.049852112404732,3.300558460038333,3.242596779922037,2.754304156455821,3.5034706492918217,1.9394349126093928,1.5299992936183542,1.5981033686210169,1.5573481549334505
17,0.42284198635813175,5.0728458370859375,3.268720631877947,3.2119402025475825,2.731378679681034,3.476607656382066,1.9826336792132775,1.5519361880037708,1.6210747765562747,1.579371195348643
18,0.440269091456839,5.100977383356959,3.2411384736817994,3.1875807035831194,2.715465753070838,3.4490791246304777,2.023159956797396,1.573822724569512,1.642338677093608,1.6002661133012301
19,0.4564043023634719,5.134167273815347,3.222193619445871,3.1707910682132647,2.676897205225035,3.435192798306259,2.061053390184242,1.5933764013530272,1.661976381860468,1.619207056965895
20,0.4713197868538683,5.172226768597436,3.2179740817837685,3.165717054696234,2.6757942582628855,3.4331489440028142,2.096408184962463,1.6072928610196877,1.6800899409672982,1.633824716243864
21,0.4850984343835855,5.214898209664276,3.208148563941924,3.157579339946673,2.6829035755901125,3.426727272999263,2.1293526147401796,1.6255164328352094,1.6967911381316019,1.6515493826838719
22,0.49782702952417845,5.261886217766513,3.2060029981011438,3.160229407478358,2.6638902125820407,3.4309935231384157,2.1600336306807817,1.641260541828261,1.7121938926330165,1.6650329894769031
23,0.5095917366753048,5.312880245340815,3.212993746682601,3.1689480434497113,2.6767302887310347,3.441743236465452,2.1886059126676822,1.6535607175788423,1.7264093517448869,1.676543815958946
24,0.5204752995503215,5.367569976576453,3.219408444566582,3.1761094058120447,2.6795161430743524,3.452226961688036,2.215224438206088,1.6672534936147474,1.739542951975138,1.6899827086416475
25,0.5305554479874081,5.425655247553193,3.235054142191729,3.1858651190630844,2.6948683058378635,3.4740987198999047,2.240039681852299,1.6771451138302573,1.7516928470916369,1.7030398478228097
26,0.5399041207086637,5.4868519816727215,3.2486228769748706,3.2054818269405176,2.7049744057445455,3.4935923769886186,2.263194704819628,1.68897781905116,1.7629492450937698,1.7117089654224198
27,0.5485872190335574,5.550895342219953,3.270835550576397,3.233565770504828,2.723469010735781,3.5208268348281195,2.284823560680218,1.6970878713978015,1.7733943247451411,1.716648349278308
28,0.5566646918518748,5.617541009997714,3.2948346740755783,3.2538101436833697,2.762225244891246,3.5481961277211895,2.305050591529992,1.7049538340110526,1.7831025035514654,1.7264501498045488
29,0.5641908159377522,5.686565244254088,3.3135922649990017,3.2763032947802713,2.760567293651869,3.574012442833837,2.3239903085238494,1.7161330632982392,1.7921409038484393,1.735665087329915
30,0.5712145813909698,5.757764189753486,3.3445937612797594,3.3051985512088597,2.776812409825022,3.6046581694810316,2.3417476416451817,1.721513762421886,1.8005699166895217,1.7420327706629342
