,r,DAPX_tnorm,APX_tnorm_list
0,0.01,1.015194612208427,[1.0282503]
1,0.03040816326530612,1.0109191457747106,[1.04348571]
2,0.050816326530612244,1.0107355827058015,[1.0548656]
3,0.07122448979591836,1.0051336495102197,[1.06018413]
4,0.09163265306122448,1.0037070198077016,[1.0661]
5,0.1120408163265306,1.007538663061325,[1.0732125]
6,0.1324489795917503,1.0066804522753492,[1.0729143]
7,0.15285714275093923,1.0083985148623416,[1.07410343]
8,0.17326529376318248,1.0112068800531233,[1.07770283]
9,0.19367312092485514,1.0119364394370576,[1.080628]
10,0.2140776518804603,1.015036757366184,[1.0882191]
11,0.23446490511443338,1.0139076850121647,[1.09227469]
12,0.2547954161348436,1.0223983909689303,[1.0935386]
13,0.2749924839347958,1.0222916347533986,[1.0973066]
14,0.2949429696275193,1.0259800892292648,[1.10250602]
15,0.31451127669580003,1.0309432315809441,[1.10082858]
16,0.3335590982836907,1.0314173550459234,[1.109375]
17,0.351962860347582,1.0415566381914496,[1.11309883]
18,0.36962465673537076,1.0507849885531793,[1.12889633]
19,0.3864763751674016,1.0505668478749057,[1.12593847]
20,0.4024787613988019,1.0540696456035599,[1.13104022]
21,0.4176175792715535,1.0588652379189751,[1.13284556]
22,0.4318986096277206,1.0717274435892028,[1.13836212]
23,0.44534261099446926,1.066569775990736,[1.13949445]
24,0.4579808348052092,1.0787086402522286,[1.14583078]
25,0.4698513268000966,1.0710693020902953,[1.14242142]
26,0.48099603610318076,1.0784840618004174,[1.14661042]
27,0.4914586495888131,1.090188072219466,[1.15438643]
28,0.5012830301811687,1.0735375115743804,[1.1438666]
29,0.5105121339605544,1.1028422790256356,[1.16386232]
30,0.5191872937060872,1.0866720175998579,[1.15746572]
31,0.5273477751629954,1.0911913741375723,[1.15772817]
32,0.5350305314079667,1.095611087639404,[1.1591737]
33,0.5422700977343008,1.0970445126013024,[1.15736522]
34,0.5490985836596737,1.1059156710367097,[1.16722977]
35,0.5555457299527456,1.1009941736439899,[1.15677504]
36,0.5616390073108952,1.1131332962352916,[1.17294276]
37,0.5674037399404472,1.111497143176945,[1.16432618]
38,0.5728632422276911,1.1074750227647576,[1.16637451]
39,0.5780389603248693,1.1135918080086284,[1.17246327]
40,0.5829506131237228,1.1173396282888068,[1.17038847]
41,0.5876163289983946,1.1046316086269024,[1.16900919]
42,0.5920527760612311,1.11107583204731,[1.17676002]
43,0.5962752846347866,1.1119080222169073,[1.1768114]
44,0.6002979613101977,1.1207056851861557,[1.1823506]
45,0.6041337944169815,1.1066438961261382,[1.16857523]
46,0.6077947510319505,1.1235356116612774,[1.18638677]
47,0.611291865849055,1.126678847032993,[1.1777038]
48,0.6146353223494259,1.120369536192235,[1.17821809]
49,0.6178345267748792,1.1239732969227085,[1.18246159]
50,0.6178345267748792,1.1222438716453342,[1.18138209]
51,0.6710801870389718,1.1293869344659182,[1.18610429]
52,0.6949221870555014,1.1451761277363404,[1.19328666]
53,0.7083297462202213,1.161515926027125,[1.20748349]
54,0.7168995618445915,1.137956238764219,[1.18792403]
55,0.7228430378722295,1.1534026944055138,[1.19786355]
56,0.7272046334635652,1.1557389160883877,[1.19854761]
57,0.7305406863812867,1.146036501410638,[1.20030537]
58,0.7331743679276355,1.1642853092129761,[1.20450786]
59,0.7353061200110284,1.162844109105556,[1.21241251]
