,r_list,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,rho_list,DAPX,r_rho_list,APX_pareto0_list
0,1.000099999999642,0.0004999750000000969,0.0002279152388864544,0.00022665466277688097,0.00018493575274983615,0.00025413071515466165,3.592721966910376,2.1936883309903665,2.3052518381018317,2.2058888790312365
1,1.183771428571428,0.8356147139071524,0.3547530024609061,0.34892047343274796,0.2827720191861234,0.39874640176274356,4.239828454709315,2.3554831336465925,2.51466479657349,2.3948572168500495
2,1.3674428571428572,1.5155579939835584,0.6075544411980324,0.5919883552856608,0.48453904625653343,0.6889720720766317,4.960194543145283,2.494522122157547,2.7189693582180663,2.560114536800701
3,1.5511142857142852,2.0639663613607206,0.7910405628319724,0.7576157343669945,0.6289731089606734,0.902177677697833,5.757116807482055,2.6091789199426105,2.91745104926993,2.7242918378473386
4,1.734785714285714,2.5059119081545345,0.925246844933216,0.8748022093312949,0.7390685990723347,1.0611646633422367,6.633260943278932,2.708371200482624,3.1095740465163777,2.8645468443318993
5,1.9184571428571429,2.8634659946865257,1.0254283564342328,0.9527022227396581,0.828715693522451,1.183969574044412,7.59078403466534,2.7924583679778294,3.2949953487234476,3.0056253951545737
6,2.102128571428572,3.15462218830028,1.10092835796315,0.9998090147371204,0.8836412211652472,1.2766157891433707,8.631430702893779,2.8654200479826963,3.473546827985145,3.155224789736192
7,2.2858,3.393543752584507,1.158779210132408,1.0396622259847499,0.9521944415376477,1.3555284287234812,9.756611556702458,2.928550773875848,3.645204837785812,3.264082956722027
8,2.469471428571428,3.5912098242749737,1.2031165460966275,1.0564496677206658,0.9801488973392694,1.4103623034536368,10.9674676463687,2.9849226460447564,3.810057555451588,3.399319375075538
9,2.653142857142856,3.75609003089324,1.2426143301404777,1.070692856064925,1.0142569910419694,1.4715233088301753,12.26492317813841,3.022731944889621,3.9682749866821836,3.508092922836759
10,2.8368142857142864,3.894724167059632,1.2679031437114345,1.0733300476530891,1.047369223005241,1.497575334446185,13.649728301181632,3.0717836661078923,4.120083617017203,3.6286361083207512
11,3.020485714285713,4.0121831355965085,1.2939279115290436,1.0794386787380803,1.0658364499719246,1.5382729439566711,15.122493586371533,3.1007779489471585,4.265746112381765,3.716916221945056
12,3.204157142857144,4.112422595178553,1.3136929036728406,1.0778593804866363,1.0846514594782253,1.5672844108631,16.68371765247008,3.130429176926347,4.405545694647545,3.815360954897345
13,3.38782857142857,4.198549851574063,1.3314661753104746,1.070318864763507,1.1038827269755018,1.595547516951409,18.333809215632755,3.153328210230376,4.539774503340941,3.9227093810980866
14,3.571499999999999,4.273023997895839,1.3439422515659436,1.0581115579688016,1.1080378528945356,1.6131937948068222,20.07310464911553,3.179469945912459,4.668725187609688,4.038349232380116
15,3.755171428571427,4.3378059007891405,1.3568988447755852,1.0557659208779402,1.1311262666900457,1.6341635346818233,21.90188195677231,3.196852821778739,4.792685025911268,4.108681493698872
16,3.9388428571428578,4.394470903645829,1.3672020754243128,1.0420429643100646,1.1503406484470171,1.6529071034523382,23.820371897517102,3.214207308953945,4.911931972551972,4.217168633306212
17,4.122514285714286,4.444293910948325,1.3714539813888598,1.038102522032401,1.1471611442936538,1.665424624219875,25.82876685384328,3.2405709351236314,5.026732142095228,4.281170516999872
18,4.306185714285717,4.488313997539443,1.381486521243652,1.0154609420307625,1.1430389257527598,1.674056153629204,27.927227916878042,3.2489017652513463,5.137338346612226,4.41997698952706
19,4.489857142857147,4.527383788855579,1.3849899151430507,1.0146586066726175,1.1685630297419938,1.6843236537863873,30.115890561845358,3.26889296402419,5.243989389621325,4.461977416918863
20,4.673528571428574,4.562207459241722,1.3912562859845485,1.0007781189525204,1.1809274008243973,1.6937705197287907,32.39486920853804,3.2791998894820376,5.346909892921225,4.5586602792803115
21,4.857199999999998,4.5933701746027475,1.39378311198348,0.9981540733861597,1.1790721901194965,1.7013456948329333,34.76426089839682,3.295613309638947,5.446310489601773,4.601864879457034
22,5.040871428571429,4.6213610634186075,1.4006116532139705,0.9765001928980734,1.1661542507430471,1.7108590235675911,37.22414827011401,3.2995306392132417,5.542388260566727,4.732575678969663
23,5.224542857142859,4.646591260433977,1.4046950005898005,0.9655093462540697,1.1815816916151571,1.7154829796344913,39.77460197670111,3.3079004755359533,5.635327325365076,4.812580301228121
24,5.408214285714282,4.66940817388037,1.4079387921971587,0.959650996684272,1.2006916178318348,1.7214574448032471,42.415682656466544,3.3164852050091795,5.725299523242634,4.8657357622863175
25,5.591885714285707,4.690106839104122,1.4114370452388847,0.9506799540727064,1.1926003670471128,1.730819941288846,45.147442546524914,3.3229302397333105,5.812465138990948,4.933423513361922
26,5.775557142857135,4.708939009634342,1.4137308836355595,0.9363481051075727,1.2021450397693514,1.7323996044034304,47.96992680884886,3.330859546284229,5.896973641932786,5.029047406566123
27,5.959228571428572,4.726120480028893,1.4138694553165274,0.9270246200903938,1.2034593190341742,1.7328491725361508,50.88317462432562,3.3426851837398535,5.978964416450151,5.098160693475489
28,6.142900000000005,4.741837018244555,1.420006491896006,0.9254384025094438,1.2058965721100299,1.741657520642008,53.88722009888601,3.3393065773334665,6.058567469769469,5.123881833071182
29,6.326571428571415,4.756249197997679,1.4211273267634832,0.9036097841824146,1.208562921211432,1.7461466247732302,56.98209301683769,3.346814256840518,6.135904107984501,5.263609670075817
30,6.510242857142857,4.769496355843298,1.421459169089923,0.8962542968544891,1.2116905492012333,1.7453592928156827,60.16781946950227,3.3553523446592752,6.2110875750462995,5.321588273085454
