,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_tnorm_list
0,2,10.070551301947667,5.643044241664871,5.635996702478283,5.584386356237036,6.178611864937252,1.7845954897168317,1.7868270393982673
1,2,110.77606432142434,87.01904551565943,85.54683537663146,61.346026020160394,91.1140852721736,1.2730094160994876,1.2949171507480997
2,2,211.481577340901,174.3304005832068,172.24337498963575,117.03331428655189,182.19521572193923,1.2131078494250473,1.2278067435315076
3,2,312.1870903603777,263.5767827270626,260.6179105633634,172.64267274590463,275.03530978858254,1.1844256050566173,1.1978727390053125
4,2,412.89260337985434,353.93662335256977,350.53118724597203,228.33711783130988,369.20219520681337,1.1665721378840084,1.1779054714755595
5,2,513.598116399331,445.03377165892306,441.4125048563228,284.56037232162095,463.49228486562595,1.1540654869513054,1.1635332274206962
6,2,614.3036294188076,536.7891725275326,533.0103747646878,339.4106308442473,559.1706543533803,1.1444039128551893,1.1525172088629776
7,2,715.0091424382844,628.9550744518554,625.6417755994669,394.06367924293886,654.8160803073839,1.1368206911462262,1.1428411118378228
8,2,815.7146554577611,721.465958983636,716.9692287040796,451.8457684346586,750.3009574787901,1.1306349874176984,1.137726171222388
9,2,916.4201684772377,814.3176576848573,809.754269028152,505.85629352633686,847.0969919238208,1.1253841296806244,1.131726257617763
10,2,1017.1256814967144,907.4911359129545,903.4847615523737,564.1595581826809,943.4902225564131,1.1208105966494817,1.1257806714405256
11,2,1117.831194516191,1000.8150215705308,996.5289344323061,618.4987403075135,1039.7217105895359,1.1169208799064911,1.1217247747582837
12,2,1218.5367075356678,1094.4521777068903,1089.31111936144,673.6612746997736,1136.2328595195552,1.1133759266565315,1.1186305600644015
13,2,1319.2422205551443,1188.206008375475,1182.9141035707794,728.7419827946431,1233.7223811715996,1.1102807183737633,1.1152476892217624
14,2,1419.947733574621,1282.1406540917997,1274.8839500196173,785.9969325058936,1331.3361432426448,1.1074820294037369,1.1137858732575396
15,2,1520.6532465940977,1376.229476259071,1370.0138772918513,839.0396966264886,1427.1836367323624,1.1049416342451885,1.109954630240695
16,2,1621.3587596135744,1470.4444580000907,1464.4204430443513,896.5640608135018,1524.5143183432463,1.1026317592564754,1.1071675264536511
17,2,1722.0642726330511,1564.8495950496708,1558.0762121710995,951.7617431391405,1622.8938418293603,1.1004663183482435,1.1052503460234737
18,2,1822.7697856525276,1659.3301841916427,1653.0144774555051,1005.5923935129396,1719.4844611675796,1.098497335260918,1.1026943868382373
19,2,1923.4752986720043,1753.9217093296,1747.8801786101305,1065.3419717717538,1817.223214407576,1.0966711275882506,1.1004617606004907
20,2,2024.180811691481,1848.6165774979427,1840.5567194444545,1120.8792849197014,1913.926349531765,1.0949706046838334,1.099765516763021
21,2,2124.8863247109575,1943.4080636805368,1935.4456571822525,1173.1041041472347,2012.079587135206,1.0933814490234885,1.0978796107375626
22,2,2225.5918377304342,2038.290175487842,2031.022507540403,1230.0195025563878,2109.036858237059,1.0918915591582852,1.0957987070392723
23,2,2326.297350749911,2133.2575439903126,2126.1043915911596,1284.7029276757823,2208.068978524127,1.090490624211511,1.0941595153796415
24,2,2427.0028637693877,2228.30533493283,2223.4709252619436,1343.0582780705042,2305.272593769094,1.0891697945167587,1.0915379356640187
25,2,2527.7083767888644,2323.405941300721,2317.5288370130784,1399.1261500680052,2403.331768076182,1.0879323031143528,1.090691229562724
26,2,2628.413889808341,2418.6250942584447,2412.6406607153467,1453.0833170979256,2501.329386546424,1.0867388650055407,1.0894344659801174
27,2,2729.119402827818,2513.8894695634926,2508.5740852471818,1508.0027582043517,2598.7380825531654,1.0856163072681542,1.0879166052450489
28,2,2829.8249158472945,2609.2189879119155,2601.3074697546504,1560.0063522041482,2695.9199789727104,1.0845486442331633,1.0878471494621884
29,2,2930.530428866771,2704.61060735643,2697.366140564076,1620.6366168027116,2794.6231132012363,1.0835313671017368,1.086441467769717
30,2,3031.235941886248,2800.061526828267,2795.3376139510556,1668.33411184235,2891.8575066859235,1.0825604769191772,1.0843899236921737
31,2,3131.941454905724,2895.5402040170916,2884.9489879073153,1733.18292364847,2991.792895536227,1.081643228631626,1.0856141540227275
32,2,3232.646967925201,2991.1311111434275,2984.4252402123366,1778.3445191508988,3087.7605840007673,1.0807439887479384,1.083172372478395
33,2,3333.3524809446776,3086.7451582748668,3079.4918988216814,1843.272930688494,3187.059279444924,1.0798923493922756,1.0824358661960214
34,2,3434.0579939641543,3182.4092331466063,3178.4598969551903,1906.8246883286863,3285.7705091424,1.0790749216651594,1.080415706126673
35,2,3534.763506983631,3278.121407651033,3272.4995595477776,1950.3226414912606,3385.8018987362157,1.0782893820630326,1.0801417823481985
36,2,3635.4690200031077,3373.879880464209,3366.3381798529645,2007.0069541664802,3481.7278348681652,1.0775336256200405,1.0799476540297857
37,2,3736.1745330225845,3469.6829653394016,3463.939118580572,2060.2425547993907,3580.8892497377788,1.0768057399898825,1.0785912815215895
38,2,3836.880046042061,3565.5290809870644,3558.8810794066653,2120.8040344152105,3681.0794480380623,1.0761039831373012,1.0781141489228248
39,2,3937.585559061538,3661.4167418695693,3651.5731622956446,2169.7833157402138,3778.082955439296,1.0754267641904518,1.0783258020732316
40,2,4038.2910720810146,3757.3445501926685,3752.162431268956,2236.5328196359665,3875.1047680706247,1.0747726268206996,1.0762569974123672
41,2,4138.996585100491,3853.3111886330844,3843.966450303618,2287.7964780699517,3974.901310819814,1.0741402348479283,1.0767514853761457
42,2,4239.702098119968,3949.315413849119,3940.964493536596,2342.1549836061213,4073.5066976365442,1.073528359687997,1.0758031707906321
43,2,4340.407611139444,4045.356050788353,4035.086269298216,2406.801973116053,4171.831136605466,1.0729358693392617,1.0756666206034624
44,2,4441.113124158921,4141.431987285844,4135.274419651062,2453.6667325033345,4270.407707178885,1.072361718795116,1.0739585027427674
45,2,4541.818637178398,4237.542169506876,4230.373164636919,2512.13865952777,4368.32982067716,1.071804941520365,1.0736212765211717
46,2,4642.524150197874,4333.685597539168,4323.778350836384,2564.944135337953,4468.059651049687,1.071264642002197,1.073719273630165
47,2,4743.229663217351,4429.861321645236,4425.780613915745,2616.387986570662,4565.27268561832,1.070739989091968,1.0717272447494275
48,2,4843.935176236828,4526.068438665804,4517.115077755643,2685.8985912419244,4663.770167075728,1.0702302101434251,1.072351510390027
49,2,4944.6406892563045,4622.3060888483105,4612.942501422959,2733.2267944204527,4763.48391772988,1.0697345857700018,1.0719059879309196
