,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_tnorm_list
0,2,10.070551301947667,5.645482447371106,5.642021771053815,5.591702215673326,6.1836566641477235,1.783824747632889,1.7849189015211284
1,2,15.1058269529215,9.170342753625217,9.08408585855618,8.321710588583375,9.846284465496717,1.6472478029188025,1.6628890554456308
2,2,20.141102603895334,12.837325686794756,12.627175695331411,11.182450188811485,13.66309168208668,1.5689484784680412,1.595059979354054
3,2,25.176378254869167,16.639289435165104,16.34693619974579,13.8663368391884,17.614883563540705,1.5130681122513543,1.5401282507764777
4,2,30.211653905843,20.514350222905612,20.114269226060433,16.70974103336095,21.66751583115782,1.4727083030935932,1.5020010702998945
5,2,35.24692955681684,24.46715264484947,24.004482280651697,19.483843363416902,25.817650327592148,1.440581585787286,1.4683478337388212
6,2,40.28220520779067,28.448317939930707,27.8680225036715,22.286016328049055,29.95653147484521,1.4159784523235255,1.4454633514984296
7,2,45.3174808587645,32.458442851754555,31.846182631862064,25.11292007838432,34.14638677543354,1.3961692822339087,1.423011397712215
8,2,50.352756509738335,36.52005988567231,35.79254324225278,27.819748309710906,38.35524802462535,1.3787698231429495,1.4067945987782546
9,2,55.38803216071217,40.654786249595524,39.75308490668487,30.568921053535586,42.62659681473217,1.3623988039357415,1.393301483161075
10,2,60.423307811686,44.741828401363286,43.91372388437905,33.35888766573871,47.01737315602932,1.3504881219794964,1.3759549969111073
11,2,65.45858346265983,48.905746907427556,47.85646309110283,36.267498433147765,51.264487049255386,1.3384640374998202,1.367810724709187
12,2,70.49385911363368,53.05809008058953,51.95903043795808,39.204259355344284,55.5688300339713,1.3286165975171946,1.3567200642399821
13,2,75.5291347646075,57.255742668098215,56.22204687271293,41.66282548710458,59.94675843125985,1.3191538742661506,1.3434077726768991
14,2,80.56441041558134,61.475526261279455,60.18407561841644,44.65791448426326,64.37093357067066,1.3105119275135848,1.3386333442484322
15,2,85.59968606655517,65.66296183166997,64.41084593520499,47.313173858585124,68.66411812500317,1.303622067581933,1.328963854203458
16,2,90.634961717529,69.9341168593905,68.66444337491423,50.020439451073656,73.29658210947576,1.2960049513424128,1.3199693649689068
17,2,95.67023736850284,74.16283684042307,72.83994616311215,52.747227255427525,77.72019005381742,1.2900023980252733,1.3134309181704542
18,2,100.70551301947667,78.40170354835934,77.04758190156474,55.88203326377709,82.12381394770925,1.2844811842303914,1.3070561143390207
19,2,105.7407886704505,82.6574539188466,81.11347084203804,58.34548988853013,86.44941640652173,1.2792650106821244,1.303615633417687
20,2,110.77606432142434,86.98058019515855,85.55453764775223,60.96289764229032,91.02957530824011,1.2735723775683698,1.294800572443217
21,2,115.81133997239817,91.28761466126636,89.84611632443796,63.648891578265726,95.45634730247518,1.2686424155361058,1.288996616773047
22,2,120.846615623372,95.57322275600396,93.90634872352608,66.69487351063339,99.98078615145087,1.264440102976232,1.2868844041542067
23,2,125.88189127434583,99.88125333963006,98.2416426749496,69.52352670561646,104.5146690883447,1.260315495304257,1.2813496176041053
24,2,130.91716692531966,104.20754296623883,102.51482591439738,72.37476364059852,109.05394557159534,1.2563118100551915,1.277055935642314
25,2,135.9524425762935,108.56236442412757,106.66565472779753,75.24214317846717,113.56417343054638,1.2522980988619532,1.2745662408695055
26,2,140.98771822726735,112.90548329083875,110.9617993296584,78.2114676271763,118.06232087051336,1.2487233933899402,1.2705968998249966
27,2,146.02299387824118,117.26202868501453,115.43622399713803,80.6599744522117,122.6445270478641,1.2452709160480535,1.2649668260273437
28,2,151.058269529215,121.60399979834756,119.42745289122482,83.5773324428598,127.03662739963845,1.242214645732958,1.2648538160384255
29,2,156.09354518018884,125.97015403519498,123.95953937640851,86.32380149950151,131.71286474476668,1.2391311765529607,1.2592297935716268
30,2,161.12882083116267,130.33576153680494,128.3398730335075,89.17460107332161,136.30896392086774,1.2362594803703373,1.2554852753290047
31,2,166.1640964821365,134.703684685371,132.54231617570997,91.94687443851849,140.79610369012144,1.233552718845427,1.2536682719642116
32,2,171.19937213311033,139.0940567245291,137.12568117474544,94.7006991147021,145.52222092534856,1.2308173056751424,1.2484851172038536
33,2,176.23464778408416,143.4131797182842,141.36513010293586,97.31345493610335,149.88813614458874,1.228859496249043,1.2466627919894946
34,2,181.269923435058,147.86994150196676,145.6597317364589,100.25415210875744,154.6944492162111,1.2258740457582922,1.2444751975997619
35,2,186.30519908603185,152.2518326497869,150.35524983236093,103.13314159747064,159.14355822059852,1.2236647391599893,1.2391000599829634
36,2,191.34047473700568,156.65016940291113,154.5710432004941,105.8767081664012,163.58106748162763,1.2214507999979851,1.237880464381792
37,2,196.3757503879795,161.007597358895,158.165199763956,108.46910681371885,168.124483170816,1.219667603325866,1.2415863330305814
38,2,201.41102603895334,165.50743774532364,163.2454289579953,111.52391548953682,172.99059639936345,1.2169303614552762,1.2337927458341171
39,2,206.44630168992717,169.88323172135102,167.52210750785588,113.62245386479924,177.6401009241567,1.2152247140468124,1.2323525817644454
40,2,211.481577340901,174.3181781437117,171.8476798309292,116.86799176733398,181.9983920527435,1.213192907320033,1.230633881987614
41,2,216.51685299187483,178.7375998964685,176.66142312333693,119.7856280787215,186.7488300880126,1.2113671276625033,1.225603468849635
42,2,221.5521286428487,183.1727880585493,180.63446044828146,122.51010979694868,191.1931813283077,1.209525339386284,1.2265219387985085
43,2,226.58740429382252,187.61501420408575,185.23858722853078,125.23180830778166,195.921576943665,1.207725326542059,1.223219242188882
