,step,u_m_list,rev_A_list,APX_rev_list,rev_A1_list,rev_A2_list,DAPX,APX_uniform_list
0,2,10.0,5.1142279031518925,5.218442833923386,5.05278,5.7403275484184,1.9553293653255093,1.9162804534320619
1,2,15.0,8.469263124680236,8.470790492076906,7.5648599999999995,9.20883217542982,1.771110399945962,1.7707910512047422
2,2,20.0,11.952920252358926,11.848573719822857,10.13094,12.823544621563595,1.673231275516372,1.6879668787931559
3,2,25.0,15.588039526690464,15.33030523337599,12.65355,16.594647309146104,1.603793726414024,1.630756832262666
4,2,30.0,19.310384847086915,18.99530247226064,15.22881,20.471028286495706,1.5535682088969696,1.5793378412273151
5,2,35.0,23.071152340441213,22.667176031871318,17.746155,24.435683686018404,1.5170460271569886,1.5440829484355723
6,2,40.0,26.916192373201003,26.378161384682844,20.30004,28.414028873123424,1.4860942976401756,1.5164059168743667
7,2,45.0,30.818228450828496,30.225188792920722,22.727385,32.415523912964446,1.4601747816815296,1.488824447327846
8,2,50.0,34.71725906675006,34.02128793586718,25.25895,36.57053649090189,1.4402058614093403,1.4696680529630142
9,2,55.0,38.65982341636711,37.811399024831175,27.881864999999998,40.610934848192784,1.4226655773268502,1.454587807340344
10,2,60.0,42.67810457947827,41.899191381623574,30.310739999999996,44.86204283231807,1.4058731190431297,1.4320085429217901
11,2,65.0,46.66228418868531,45.64317133663492,32.93784,48.983072529542866,1.3929879586940843,1.4240903534200429
12,2,70.0,50.67912637030407,49.72776272185802,35.373870000000004,53.17253831692383,1.3812392796300685,1.4076643743562436
13,2,75.0,54.774278164966994,53.644444835844276,37.937025000000006,57.39278038557469,1.369255835268481,1.3980944388464678
14,2,80.0,58.80653750773951,57.63035153997307,40.47552,61.582563650644076,1.3603929663342484,1.3881574181360161
15,2,85.0,62.93157635203054,61.66501901658089,42.992234999999994,65.93947270750411,1.350673301500057,1.378415207771924
16,2,90.0,67.1289209906772,65.82423719962658,45.65646,70.37536031416211,1.3407038080129294,1.3672775231265508
17,2,95.0,71.16954539215695,69.68335910788086,48.1878,74.61692845884491,1.3348406186456998,1.3633097086052492
18,2,100.0,75.34328540836933,73.75569394264073,50.930099999999996,78.90471775382011,1.3272582879547716,1.3558275253673198
19,2,105.0,79.5017052334416,77.85129440124881,52.996545000000005,83.2210017713891,1.3207263880905136,1.34872516645421
20,2,110.0,83.62975140791538,81.92329273584583,55.57266,87.55962478217877,1.3153213796303205,1.3427194675229295
21,2,115.0,87.83384527493399,86.11069851214023,58.389525,91.91906539405701,1.3092902814402763,1.3354902699318696
22,2,120.0,92.02500061609166,90.32129056704265,60.51132,96.28809489413506,1.3039934713025862,1.328590404838467
23,2,125.0,96.26927173158407,94.42895326543936,63.45225,100.76039746348665,1.2984413172722686,1.323746538295575
24,2,130.0,100.45892348418226,98.73854504004862,65.78792999999999,105.10609939598804,1.294061249028506,1.316608422245554
25,2,135.0,104.72463816335235,102.92950789103716,68.092245,109.61356020907151,1.2890949290216054,1.3115772412213724
26,2,140.0,108.89194158507802,106.87142123261985,70.66458,113.94391347585106,1.2856782417697736,1.309985386039467
27,2,145.0,113.16119060461985,111.12122010601642,73.571985,118.32429136410524,1.2813580276529921,1.3048812806560364
28,2,150.0,117.44471047205089,115.20153884314594,75.89295,122.68819603229534,1.2771967285465489,1.3020659403190293
29,2,155.0,121.634685823532,119.45101299525442,78.484095,127.17442653853007,1.274307562440491,1.2976030601444786
30,2,160.0,125.88167046394851,123.77258712945924,80.8632,131.72133041740398,1.2710349283601436,1.2926933476202522
31,2,165.0,130.17228644326516,128.0331424967349,83.577285,136.23221914581163,1.2675509089403165,1.2887288149176517
32,2,170.0,134.45838932503287,132.16416639896687,86.38686,140.63860807537014,1.2643316705888143,1.2862790621083877
33,2,175.0,138.74110206836193,136.46012518444357,88.66777499999999,145.19007413048024,1.261342150170987,1.2824259083997234
34,2,180.0,143.04918946090385,140.775605151312,91.2789,149.68497318315303,1.2583084229861716,1.2786306250044377
35,2,185.0,147.3144547184995,144.72891670176293,94.084155,154.0425921319157,1.25581702320735,1.2782518118422876
36,2,190.0,151.5961033075463,149.27370550499563,95.96178,158.38054947314578,1.2533303683574433,1.2728296611732561
37,2,195.0,155.88388032555767,153.3668613319799,98.56782,162.88177184984124,1.250931139209197,1.271461111653713
38,2,200.0,160.2435230632334,157.7319764793669,101.2536,167.4913962974196,1.2481003673457578,1.2679737137901284
39,2,205.0,164.55632216518413,161.90606174523606,103.81076999999999,171.83800827139345,1.2457740748132295,1.26616630526517
40,2,210.0,168.8736232065935,166.23218468840082,106.90596000000001,176.43440022505774,1.2435334542629792,1.2632932689517444
41,2,215.0,173.1586515699822,170.70266631102473,108.51480000000001,180.95905939911418,1.2416359104824028,1.2594999518535017
42,2,220.0,177.57044324034885,174.98700846689133,111.46806,185.43611477357152,1.2389449279136,1.2572361910034333
43,2,225.0,181.91900175964992,179.14541001222193,114.463125,190.03987451637911,1.236814174570221,1.2559629631853237
44,2,230.0,186.22513916669678,183.32290297218148,116.93430000000001,194.5738746267263,1.23506418644219,1.254616833309156
45,2,235.0,190.59043154969146,187.88584462950186,119.20774499999999,199.03038741830855,1.2330104826838062,1.2507594729310452
46,2,240.0,194.91887142484862,192.10392462088564,121.6944,203.84327534070297,1.2312814980181768,1.2493237734400096
47,2,245.0,199.28737805618803,196.51549724221056,124.333335,208.30959372507968,1.2293804173133511,1.2467210140584029
48,2,250.0,203.60021431844595,200.4939380381489,126.72000000000001,212.62184684769406,1.2278965463611022,1.2469204926905637
